distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,transaction_amount,repeat_retailer,used_chip,used_pin_number,online_order,is_foreign_transaction,transactions_last_24h,Class
4.78,5.05,1.28,105.35,1,0,0,0,0,1,0
22.04,9.29,0.7,97.44,1,0,1,0,0,0,0
49.66,9.87,0.62,62.34,1,1,0,0,0,6,0
1.7,5.18,0.29,107.41,1,1,0,1,0,1,0
6.84,2.5,0.58,137.26,1,1,0,0,0,5,0
13.15,1.17,1.64,195.53,0,1,0,0,0,1,0
28.51,2.89,2.25,65.63,0,1,1,0,0,3,0
3.75,0.91,1.73,125.56,1,0,1,0,1,3,0
15.05,5.22,0.12,133.62,1,1,1,0,0,3,0
16.81,1.48,1.2,45.91,0,0,0,1,0,4,0
3.27,1.63,1.61,56.86,1,1,1,0,0,6,0
31.03,2.81,0.7,120.17,1,0,1,0,0,4,0
16.26,12.35,1.71,142.51,1,0,1,0,0,2,0
35.79,6.06,0.57,65.37,1,1,0,1,0,0,0
3.88,12.68,0.24,73.42,1,1,1,1,0,3,0
23.83,2.8,1.27,29.77,1,0,1,0,0,1,0
2.05,1.23,1.39,44.96,0,1,1,0,0,2,0
13.51,0.12,0.99,40.66,1,1,1,0,0,2,0
43.43,3.27,0.84,213.74,1,1,1,0,0,2,0
0.33,1.89,1.07,63.68,1,1,0,0,0,2,0
18.89,3.86,1.53,123.08,1,1,0,0,0,2,0
22.93,2.1,0.1,69.23,1,1,1,0,0,2,0
16.03,2.06,0.55,46.98,1,1,1,0,0,1,0
11.7,0.51,0.58,44.44,1,1,1,0,0,1,0
7.15,8.81,1.17,67.21,0,0,0,0,0,2,0
48.33,11.72,1.05,101.59,1,0,1,0,1,2,0
2.01,2.51,1.47,28.41,0,1,0,0,0,1,0
3.1,3.62,0.67,16.89,0,1,1,0,0,2,0
13.21,9.35,2.62,243.31,1,1,0,0,0,3,1
12.1,8.56,1.77,117.67,1,0,1,1,0,4,0
20.71,4.25,1.37,104.64,1,0,1,0,0,4,0
6.56,1.29,0.99,55.9,1,1,1,1,0,2,0
20.85,1.15,1.69,86.82,1,1,0,0,1,0,0
62.85,2.76,0.1,153.77,1,1,1,0,0,1,0
17.86,4.98,0.73,151.93,0,0,1,0,0,1,0
16.73,5.36,0.1,110.98,1,1,0,1,0,4,0
20.14,11.89,0.87,192.54,0,0,1,0,0,4,0
0.46,0.19,1.76,108.61,1,0,1,0,0,0,0
1.13,6.63,1.01,29.96,1,1,1,1,0,1,0
5.56,5.83,0.84,109.01,1,1,1,1,0,1,0
8.81,1.61,0.54,54.8,1,0,0,0,0,3,0
5.03,7.9,1.82,69.19,1,0,1,0,0,2,0
7.75,2.6,0.94,45.89,1,1,0,0,0,0,0
41.83,4.38,0.97,68.68,1,1,0,1,0,1,0
0.48,0.03,1.27,75.47,1,1,1,1,1,4,0
7.53,0.34,0.86,56.33,1,1,0,0,0,2,0
34.15,0.21,1.66,123.08,1,0,0,0,0,1,0
33.23,2.61,0.67,60.84,1,0,1,1,0,4,0
10.41,1.45,0.94,122.98,1,1,1,1,0,5,0
11.39,0.33,0.51,159.84,1,1,0,0,0,4,0
3.66,4.8,0.75,116.92,1,1,1,0,0,2,0
52.54,0.69,0.41,48.23,1,1,1,1,0,5,0
35.83,2.52,0.98,230.83,0,0,1,0,0,2,0
44.61,0.85,0.8,121.28,1,1,1,0,0,1,0
3.96,1.75,1.4,182.31,1,1,1,0,0,0,0
2.67,5.7,0.75,48.57,1,1,0,0,0,2,0
23.52,3.33,0.73,35.45,1,0,0,0,0,3,0
4.76,2.5,2.0,25.17,1,0,0,0,1,0,0
17.68,4.4,0.56,59.55,1,0,0,0,0,3,0
25.14,1.5,0.52,67.51,1,1,0,0,0,0,0
1.18,0.73,0.77,141.07,1,1,1,0,0,3,0
16.99,2.92,2.01,215.19,1,0,0,1,1,4,1
42.16,2.43,1.57,80.35,1,1,0,0,0,3,0
3.92,8.47,1.11,201.15,1,1,1,0,0,2,0
17.47,2.2,1.59,59.41,1,0,0,0,0,1,0
6.77,2.48,0.51,33.22,1,1,0,1,0,4,0
11.66,3.19,0.36,142.73,1,0,0,1,0,3,0
7.28,2.03,1.5,57.36,1,1,1,1,0,2,0
41.43,18.49,1.1,13.26,1,1,0,1,0,1,0
18.68,0.03,1.47,183.12,1,0,1,1,1,8,0
31.98,23.34,0.52,375.91,0,0,0,1,0,4,1
10.02,4.16,2.36,57.02,1,0,0,0,0,1,0
23.22,13.43,0.1,75.8,1,1,1,0,0,0,0
14.49,10.45,0.51,76.21,1,1,1,1,0,3,0
2.22,0.2,0.35,159.6,1,1,1,1,0,4,0
12.21,3.81,0.63,8.38,0,1,0,1,1,1,0
17.1,9.63,1.17,9.2,1,1,1,0,0,3,0
16.52,0.49,1.8,16.11,0,0,1,1,0,2,0
36.9,1.57,0.91,140.48,1,1,0,0,0,4,0
5.45,12.93,0.76,102.29,1,1,1,1,0,4,0
4.88,0.86,1.09,120.63,0,1,0,0,0,3,0
19.59,1.38,1.65,90.59,0,1,1,0,0,1,0
5.21,2.94,1.16,46.14,1,1,1,0,1,2,0
9.68,3.32,1.23,73.0,1,1,0,1,0,4,0
7.56,2.74,1.0,238.21,1,0,1,0,0,4,0
4.18,5.19,0.72,28.94,1,1,0,0,1,3,0
3.51,3.86,1.19,42.72,1,1,1,0,0,2,0
42.19,33.61,4.04,381.21,1,0,1,1,0,5,1
1.29,0.27,0.73,57.49,1,0,1,0,0,3,0
36.34,8.96,1.78,37.73,1,1,1,0,0,4,0
16.57,6.49,0.96,164.91,1,0,1,0,0,2,0
25.28,0.72,2.35,169.48,1,0,0,0,0,2,0
1.9,3.6,0.36,57.92,1,0,0,0,0,1,0
2.66,2.06,1.21,71.63,1,0,1,1,0,4,0
24.69,14.63,1.16,30.34,1,1,0,1,0,2,0
6.17,0.46,1.28,71.59,1,1,1,1,0,4,0
5.9,1.16,1.25,100.69,1,1,0,1,0,1,0
11.74,5.05,0.72,47.68,0,0,0,1,1,0,0
26.8,0.07,0.62,5.29,1,1,1,1,0,2,0
25.97,7.33,2.06,83.17,1,1,1,1,0,3,0
20.09,4.4,1.37,65.27,1,0,1,1,0,2,0
15.45,8.8,0.75,93.09,1,1,1,0,0,1,0
10.72,2.41,1.02,108.43,1,0,0,0,0,3,0
16.35,4.93,1.25,141.5,0,1,1,1,0,2,0
13.11,1.99,1.05,95.71,1,0,0,1,0,5,0
25.06,32.26,0.7,39.33,1,1,0,0,0,4,0
68.28,6.8,0.1,22.44,1,1,0,0,0,3,0
4.7,2.58,0.65,217.72,0,1,0,0,0,5,0
5.35,0.83,0.9,61.89,1,1,0,0,0,3,0
47.36,6.7,0.95,86.33,1,1,0,0,0,4,0
4.84,4.22,1.07,80.64,1,1,1,0,0,3,0
14.19,2.66,0.64,120.0,0,1,1,0,0,1,0
33.13,3.55,1.81,43.04,1,1,1,0,0,3,0
5.11,20.55,0.74,72.41,1,0,1,0,0,3,0
10.72,8.82,0.46,223.71,1,1,0,0,0,2,0
4.33,2.53,1.84,93.66,1,1,0,1,0,2,0
24.44,0.13,1.45,124.02,1,0,1,1,0,6,0
14.12,0.16,1.12,104.42,0,1,1,1,0,4,0
1.18,2.95,1.87,35.68,1,1,0,1,0,3,0
7.26,0.6,0.92,4.32,1,1,1,0,0,4,0
2.72,5.24,1.5,202.56,1,1,1,0,0,2,0
4.25,2.91,0.77,116.33,1,0,0,1,0,2,0
13.65,5.8,0.78,281.15,0,1,0,0,0,2,0
14.97,0.75,0.7,23.04,0,1,1,0,0,0,0
3.52,0.1,1.19,261.24,0,1,0,1,0,2,0
26.48,3.83,0.62,99.29,0,1,1,0,0,4,0
19.24,14.87,0.71,31.73,0,1,0,0,0,3,0
2.5,2.04,0.41,134.18,0,1,0,0,0,1,0
8.37,0.29,0.73,26.61,0,0,1,0,0,3,0
4.9,9.32,1.08,62.11,1,0,1,0,0,1,0
3.45,0.6,1.36,43.44,0,1,0,0,0,5,0
23.89,0.66,2.4,125.85,0,1,1,0,0,2,0
23.76,1.8,1.29,56.82,1,1,1,1,0,3,0
43.99,1.88,1.28,51.03,0,1,0,0,0,5,0
2.51,2.85,1.9,133.57,1,1,1,1,0,4,0
34.98,4.41,1.19,37.27,1,1,1,0,0,1,0
2.47,4.43,0.96,48.86,0,1,1,1,0,2,0
2.31,1.63,0.67,73.33,1,1,1,1,0,3,0
13.55,2.58,1.12,137.54,1,1,1,1,0,6,0
4.25,5.11,0.92,58.55,1,1,1,1,0,2,0
29.85,1.87,0.16,26.16,1,0,1,0,0,1,0
11.11,7.92,0.57,41.1,1,0,0,1,0,3,0
3.03,1.17,0.48,19.44,1,1,1,0,0,3,0
36.0,4.1,0.95,66.86,1,1,1,0,0,5,0
8.37,1.49,0.41,93.94,1,1,0,1,0,2,0
6.9,2.87,0.4,75.68,1,1,0,0,0,4,0
17.21,18.62,1.06,161.53,1,0,0,0,0,2,0
3.47,0.89,0.13,49.99,0,1,0,1,0,1,0
2.65,4.28,0.28,232.5,1,0,0,1,0,4,0
35.48,6.36,1.41,125.89,1,0,1,0,0,3,0
16.68,3.59,1.23,106.56,1,1,1,0,0,0,0
2.01,0.67,1.52,230.48,1,1,1,0,0,2,0
17.83,2.83,1.29,57.45,1,1,1,1,1,2,0
2.03,6.41,0.8,149.81,1,1,1,1,0,3,0
20.9,0.0,1.03,70.75,1,0,0,0,0,1,0
22.47,13.25,0.74,18.9,1,0,1,0,0,6,0
22.84,0.72,0.1,77.75,0,1,1,0,0,3,0
2.3,1.28,1.21,254.54,1,1,1,1,0,1,0
34.3,0.32,1.15,279.78,0,1,1,0,1,3,0
4.26,1.88,0.1,79.07,1,1,1,1,1,1,0
1.92,16.29,0.88,107.15,1,0,1,0,0,2,0
2.47,9.95,0.94,76.61,0,1,1,0,0,3,0
33.43,1.54,1.06,100.91,1,1,1,0,0,3,0
3.65,12.26,0.76,92.07,1,1,0,1,0,0,0
0.51,13.34,0.1,53.51,1,1,0,0,0,3,0
8.22,5.9,1.81,227.1,1,0,1,0,0,4,0
15.69,7.89,0.63,124.66,1,1,1,0,0,3,0
1.85,9.81,1.5,284.17,1,1,1,0,0,2,0
9.49,3.4,0.34,64.58,1,1,1,1,0,0,0
4.11,0.26,1.12,168.29,0,1,0,0,0,3,0
12.35,3.86,1.92,97.92,1,1,1,0,0,2,0
8.58,1.08,1.58,166.68,1,1,1,0,0,0,0
8.69,3.12,0.33,203.09,1,0,1,0,0,1,0
28.3,12.78,1.04,149.0,1,0,0,0,0,1,0
50.34,4.95,0.42,144.55,1,0,1,0,0,1,0
49.71,2.04,1.1,17.96,1,1,0,0,0,0,0
17.67,2.05,0.66,75.26,1,0,0,0,0,2,0
8.02,4.67,0.45,120.2,1,1,1,0,0,1,0
6.13,2.48,1.03,74.94,1,1,0,1,0,1,0
8.94,0.08,0.87,226.2,1,1,0,0,0,4,0
7.71,0.13,1.41,56.32,1,0,1,1,0,0,0
3.56,0.72,1.27,78.0,0,0,1,0,0,2,0
17.54,4.15,0.85,103.54,1,0,0,1,0,0,0
0.27,8.86,0.93,116.54,1,1,1,0,0,1,0
21.79,3.18,1.03,42.3,0,1,1,1,0,2,0
32.57,10.34,1.51,34.7,1,0,0,0,0,1,0
0.17,1.56,0.19,44.91,1,0,0,0,0,3,0
84.13,6.17,0.78,159.93,1,0,1,0,0,2,0
15.07,5.51,1.15,167.26,0,1,1,1,0,0,0
15.13,0.45,1.06,121.24,1,0,1,1,0,2,0
3.55,3.42,0.9,46.11,1,1,1,1,0,4,0
3.84,0.64,1.04,21.45,1,1,0,0,0,4,0
9.72,5.32,1.15,56.5,1,0,1,1,0,2,0
27.47,0.9,1.39,130.77,1,0,0,0,0,0,0
52.25,14.06,1.09,70.29,0,0,1,1,0,2,0
49.88,16.61,1.32,96.89,1,1,1,0,0,3,0
50.56,10.46,1.33,55.96,0,0,1,0,0,2,0
47.03,3.81,1.0,44.43,0,1,0,0,0,6,0
2.51,24.15,1.23,31.8,1,1,0,1,0,3,0
17.93,9.26,0.81,135.83,1,0,1,0,0,3,0
6.88,3.08,0.77,96.01,0,1,0,0,0,2,0
2.75,0.34,1.34,150.22,1,1,1,0,0,1,0
4.76,2.84,1.57,66.3,0,1,1,1,0,1,0
3.65,1.52,1.16,36.3,1,1,1,1,0,1,0
23.61,16.86,0.81,66.23,1,1,0,0,0,1,0
1.91,1.9,1.37,57.72,1,1,0,0,0,3,0
29.97,4.45,0.97,95.2,0,1,0,0,0,1,0
18.53,0.46,1.08,143.65,1,1,1,0,0,2,0
3.34,5.88,0.55,61.93,0,1,0,1,0,5,0
32.59,5.17,0.47,27.43,1,1,0,0,0,0,0
8.87,1.18,1.33,36.16,1,1,1,1,0,4,0
2.11,6.45,1.42,33.37,1,1,1,0,0,1,0
34.83,0.75,1.38,120.34,1,1,0,1,0,3,0
0.38,4.72,1.17,33.52,1,0,1,0,0,1,0
5.61,3.22,0.58,219.01,1,0,0,1,0,0,0
35.95,27.78,0.23,136.44,1,0,1,0,0,1,1
10.48,3.16,0.8,107.16,0,1,1,0,0,1,0
15.95,4.49,0.52,55.59,1,0,0,0,0,3,0
2.79,2.87,1.11,45.29,1,1,0,0,0,2,0
13.96,1.01,0.8,46.74,1,1,1,1,0,4,0
14.39,7.83,1.44,57.98,1,0,0,0,0,1,0
9.42,29.03,1.54,65.99,1,0,1,0,0,2,0
9.2,1.8,1.06,25.47,1,0,0,0,0,5,0
17.54,4.83,1.02,53.16,1,1,1,1,0,1,0
7.28,2.63,1.12,21.67,1,1,0,0,0,5,0
13.03,0.09,0.73,95.42,1,1,0,0,0,0,0
9.22,0.4,1.03,41.79,0,1,1,0,0,2,0
69.02,1.0,1.47,63.22,0,0,1,1,0,2,0
15.57,9.79,2.01,114.45,1,0,1,1,0,4,0
2.93,2.26,0.81,104.39,1,1,1,1,0,3,0
65.01,8.42,0.47,31.28,0,1,0,0,0,3,0
22.88,5.08,1.45,153.25,1,1,0,0,0,2,0
5.38,0.2,1.08,101.83,1,1,1,0,0,3,0
5.03,15.05,1.38,108.45,0,1,1,1,0,4,0
1.27,9.96,0.55,102.47,0,1,1,0,1,1,0
5.14,1.33,1.19,21.07,1,1,1,1,0,4,0
1.91,0.38,1.46,41.97,1,1,0,0,0,2,0
1.02,4.95,1.26,90.69,1,1,1,1,0,2,0
32.99,0.64,1.81,89.81,1,0,0,1,0,2,0
10.85,2.89,1.78,11.82,1,0,0,0,0,2,0
17.69,2.38,0.56,28.4,1,1,0,0,0,2,0
46.37,6.97,1.08,96.96,1,1,0,0,0,2,0
22.97,2.39,0.34,64.57,1,1,1,0,0,1,0
1.2,3.96,0.9,91.61,1,0,1,0,0,1,0
16.05,1.68,0.58,106.09,1,0,0,0,0,5,0
9.7,12.16,0.84,154.8,0,1,0,1,0,1,0
7.94,4.24,1.47,13.62,0,0,1,0,1,3,0
18.25,4.0,1.47,70.3,1,1,1,1,0,2,0
3.53,2.63,1.35,2.99,0,1,1,0,0,2,0
4.47,1.74,1.86,103.74,1,1,1,0,0,3,0
3.32,7.26,1.38,33.95,1,1,0,1,0,2,0
48.23,9.66,1.1,144.27,1,1,1,1,0,3,0
4.73,1.0,1.52,42.95,0,0,0,0,0,3,0
16.88,8.32,1.84,13.99,1,1,1,0,0,4,0
2.91,1.04,1.13,191.09,1,0,0,1,0,1,0
37.39,0.73,1.01,115.11,1,0,1,0,0,1,0
8.22,2.65,1.9,109.51,1,0,0,0,0,0,0
74.04,3.64,0.93,66.97,1,0,1,0,0,0,0
7.33,1.15,2.16,82.77,1,1,1,1,0,1,0
6.01,7.83,1.33,326.43,0,1,0,0,1,2,0
2.72,11.95,0.85,33.98,1,1,0,1,0,2,0
73.42,3.43,1.32,31.28,1,1,0,0,0,1,0
16.99,17.63,0.32,30.91,1,0,0,0,0,1,0
9.56,1.77,1.29,128.28,1,0,1,0,0,3,0
17.76,1.25,1.22,130.99,1,1,0,0,0,2,0
7.91,0.87,0.71,93.28,1,1,1,0,0,4,0
8.92,1.81,0.1,113.54,1,0,1,1,0,4,0
12.36,1.38,0.86,39.01,1,0,1,1,0,3,0
1.35,3.45,1.8,27.95,1,1,1,0,0,2,0
11.06,1.93,0.83,44.6,1,1,1,0,0,3,0
7.05,3.59,1.39,123.91,1,0,1,0,0,1,0
32.11,2.65,0.26,112.93,1,0,1,1,1,0,0
11.32,0.68,1.61,118.92,1,0,0,0,0,2,0
15.18,1.96,1.53,93.13,0,0,0,1,1,3,0
19.9,1.45,1.4,29.22,0,1,0,0,0,2,0
9.02,8.87,1.21,142.18,1,1,0,1,0,2,0
18.78,3.86,1.53,140.96,1,1,1,1,0,1,0
10.96,7.82,1.18,140.45,0,1,0,0,0,3,0
25.93,1.33,0.46,119.93,1,1,1,1,0,0,0
35.21,4.41,1.19,16.37,0,1,1,0,0,2,0
2.66,3.83,1.12,122.05,0,1,0,0,1,0,0
1.21,4.66,1.57,84.5,1,1,0,0,0,2,0
12.75,18.65,0.69,15.26,1,0,1,0,0,5,0
3.22,2.13,1.65,114.7,1,1,1,0,0,4,0
58.99,12.44,4.62,136.31,0,0,0,1,0,5,1
27.35,0.92,0.72,165.1,1,0,1,1,0,1,0
8.89,4.33,1.79,78.77,0,1,0,0,0,3,0
6.97,2.46,1.56,96.16,1,0,1,0,0,3,0
1.25,7.45,0.14,86.78,1,1,1,1,0,4,0
19.81,1.56,1.68,97.64,1,1,1,0,0,3,0
1.79,1.16,1.43,17.65,1,1,1,1,0,3,0
16.05,2.11,0.66,31.5,1,1,1,1,0,2,0
14.52,0.6,0.51,55.97,1,0,1,1,0,2,0
36.01,0.22,0.63,58.48,0,0,1,0,0,3,0
18.81,19.18,2.47,201.49,0,1,0,1,1,8,1
11.94,0.9,1.06,54.12,0,0,0,1,0,2,0
1.1,5.64,0.91,108.71,0,0,1,0,0,4,0
1.12,5.07,0.14,77.76,1,0,1,0,1,4,0
0.36,12.08,1.42,309.44,1,1,0,0,0,1,0
11.05,2.41,0.23,50.61,1,0,0,0,0,3,0
20.34,4.69,1.17,55.68,1,1,1,0,0,2,0
35.36,0.7,1.4,73.86,1,1,0,0,0,3,0
8.86,0.89,1.22,124.73,1,1,0,1,1,2,0
3.6,8.24,1.21,48.23,1,0,1,0,0,2,0
45.38,4.66,1.45,77.82,1,1,0,1,0,3,0
0.07,0.65,0.9,39.43,1,1,0,1,0,3,0
8.74,4.38,1.05,45.92,1,1,0,0,0,4,0
31.08,0.06,0.94,53.4,1,0,1,0,1,2,0
3.8,9.75,0.35,8.28,0,1,1,0,0,4,0
1.12,0.5,1.76,117.83,1,0,1,1,0,1,0
33.14,3.22,0.97,68.87,1,0,0,0,0,2,0
0.46,1.21,0.79,41.92,0,0,1,1,0,2,0
5.61,6.49,0.73,62.23,1,0,0,0,0,1,0
14.99,2.5,0.65,45.28,1,0,1,0,0,2,0
0.63,10.09,0.87,30.74,1,1,0,0,0,1,0
35.49,8.1,0.24,67.23,1,0,1,1,1,5,0
43.31,0.96,1.31,82.53,1,1,1,0,0,1,0
13.82,0.74,0.55,81.0,0,0,1,1,0,5,0
0.29,4.1,0.6,58.54,0,1,0,0,0,0,0
7.92,16.88,0.75,110.45,0,1,1,1,1,5,0
8.38,1.64,1.14,6.67,0,1,1,0,0,3,0
2.86,5.81,0.8,36.82,1,1,1,1,0,2,0
1.92,8.65,0.31,164.61,1,1,0,0,0,3,0
14.33,18.65,1.24,70.93,1,1,1,0,0,2,0
11.44,2.29,2.0,31.25,1,1,1,0,0,0,0
10.56,0.8,1.6,189.18,1,0,1,1,0,4,0
7.38,16.99,1.75,237.99,1,1,0,1,0,3,0
27.92,0.37,1.88,96.12,1,1,0,0,0,2,0
7.85,5.1,0.48,54.66,1,0,0,0,0,3,0
5.22,3.52,1.18,133.34,1,1,0,0,0,2,0
9.19,12.1,1.21,100.19,1,0,1,0,0,0,0
3.11,3.97,1.48,60.78,1,1,1,0,0,2,0
3.55,1.79,1.92,41.62,1,0,1,0,1,5,0
16.19,0.29,1.19,89.9,1,0,1,1,0,3,0
7.9,1.87,1.58,90.63,1,1,1,0,0,1,0
3.11,3.45,1.3,39.92,1,1,0,0,0,2,0
17.49,4.65,0.64,33.53,0,0,1,1,0,4,0
3.27,4.7,0.29,106.52,1,0,1,1,0,2,0
6.67,0.89,1.43,126.91,1,1,0,0,1,2,0
7.61,5.91,1.11,115.43,1,1,1,0,0,0,0
32.17,1.05,1.04,115.39,0,1,1,0,0,0,0
26.03,0.18,1.2,57.79,0,1,1,1,0,1,0
12.66,0.12,1.17,47.77,0,0,1,1,0,3,0
10.44,11.59,1.57,96.85,1,1,0,0,0,2,0
10.92,26.07,0.59,111.62,1,0,1,0,0,3,0
0.19,0.49,1.34,41.93,1,1,0,0,1,3,0
20.06,3.95,0.69,72.32,0,1,1,0,0,1,0
21.55,2.27,0.94,87.01,1,0,1,0,0,2,0
28.38,9.76,0.1,66.41,1,0,0,0,1,1,0
17.35,2.65,0.57,23.34,1,1,1,0,0,2,0
0.57,0.27,1.95,71.33,1,1,1,0,0,2,0
0.55,9.2,0.97,241.69,1,1,0,1,0,2,0
14.16,3.89,0.9,58.64,1,1,0,0,0,1,0
11.52,0.05,1.57,50.21,0,1,0,0,1,3,0
2.14,0.06,0.96,99.86,1,1,0,0,0,3,0
2.96,8.49,1.0,47.49,0,1,1,0,0,1,0
20.65,10.12,1.9,70.88,1,1,1,0,0,1,0
5.86,2.17,1.33,50.27,0,0,1,1,0,3,0
45.1,16.32,2.29,84.15,0,1,1,1,0,1,0
8.98,4.47,1.44,32.59,0,0,1,1,0,2,0
3.71,37.63,1.08,17.46,0,1,1,0,0,2,0
18.17,3.0,0.44,294.9,1,1,0,0,0,4,0
12.95,7.56,1.07,8.26,1,1,1,0,0,1,0
1.52,16.04,2.15,157.59,0,1,1,0,0,3,0
3.91,5.65,1.43,104.79,1,0,0,0,0,1,0
0.71,3.5,0.98,95.69,1,0,0,0,0,2,0
1.87,4.55,1.52,108.63,1,1,0,0,0,3,0
0.65,0.41,2.06,57.59,1,1,1,1,0,7,0
11.8,7.18,1.2,141.91,1,1,1,1,0,0,0
17.27,4.63,1.42,61.56,1,1,0,0,0,0,0
26.24,3.31,0.69,33.18,1,1,0,1,0,3,0
47.59,0.97,0.71,328.83,0,1,0,1,0,2,0
3.74,6.3,0.24,100.75,1,1,0,0,0,3,0
72.36,4.86,1.3,149.96,1,1,0,0,1,2,0
1.72,4.97,0.43,125.76,0,1,1,1,0,2,0
14.44,16.19,0.83,50.13,1,1,1,1,0,1,0
16.37,12.74,0.93,211.69,1,1,1,0,0,0,0
0.32,3.53,0.66,25.79,1,1,0,0,0,1,0
40.33,0.23,1.29,49.2,0,1,0,0,0,3,0
6.4,1.44,1.38,42.39,1,1,0,0,0,1,0
8.0,1.39,1.01,6.25,1,0,1,0,0,0,0
3.51,3.84,1.48,91.79,1,1,1,1,0,1,0
2.74,1.18,0.94,274.71,1,1,1,0,0,1,0
10.65,1.46,1.03,229.49,1,1,0,0,0,5,0
52.16,3.91,1.05,124.07,1,1,1,0,0,3,0
13.91,5.08,1.4,55.35,1,1,1,1,0,0,0
20.23,0.26,1.22,86.09,1,1,0,1,0,1,0
5.52,5.17,0.15,122.18,0,0,1,0,0,2,0
17.05,0.89,1.04,91.63,1,0,0,0,0,1,0
7.71,0.04,0.43,231.15,0,1,1,0,0,1,0
6.35,2.69,0.44,23.87,1,0,1,0,0,2,0
4.07,0.84,0.59,63.26,1,1,0,1,0,0,0
